iter	Passed	Remaining
0	23	117278
1	112	281658
2	159	264918
3	190	238044
4	216	215983
5	240	200234
6	263	188054
7	286	178742
8	354	196790
9	424	211622
10	454	205989
11	481	200276
12	506	194222
13	529	188610
14	553	183891
15	612	190817
16	681	199643
17	712	197258
18	737	193326
19	762	189911
20	786	186445
21	810	183461
22	841	182182
23	942	195470
24	982	195557
25	1013	193888
26	1039	191491
27	1063	188901
28	1088	186546
29	1110	184024
30	1144	183515
31	1238	192343
32	1271	191330
33	1297	189536
34	1324	187846
35	1349	186105
36	1372	184110
37	1396	182320
38	1500	190930
39	1543	191369
40	1574	190461
41	1598	188741
42	1623	187153
43	1647	185551
44	1670	183953
45	1693	182432
46	1792	188857
47	1827	188510
48	1855	187457
49	1880	186218
50	1906	185020
51	1930	183717
52	1952	182277
53	2041	186996
54	2097	188598
55	2129	188015
56	2157	187062
57	2182	185947
58	2207	184894
59	2231	183698
60	2253	182434
61	2358	187867
62	2401	188197
63	2433	187650
64	2459	186703
65	2484	185717
66	2507	184642
67	2532	183657
68	2556	182679
69	2653	186885
70	2689	186689
71	2716	185947
72	2742	185129
73	2774	184718
74	2799	183844
75	2822	182872
76	2919	186663
77	2956	186572
78	2984	185927
79	3009	185091
80	3034	184292
81	3058	183418
82	3081	182526
83	3166	185321
84	3227	186635
85	3258	186208
86	3288	185691
87	3314	184986
88	3337	184188
89	3359	183275
90	3381	182431
91	3483	185821
92	3528	186151
93	3558	185739
94	3586	185151
95	3612	184535
96	3636	183811
97	3659	183063
98	3681	182254
99	3788	185623
100	3830	185801
101	3859	185333
102	3885	184719
103	3909	184032
104	3931	183292
105	3954	182588
106	3990	182487
107	4080	184822
108	4116	184728
109	4143	184219
110	4169	183630
111	4192	182984
112	4214	182288
113	4237	181602
114	4339	184336
115	4377	184307
116	4405	183846
117	4427	183163
118	4451	182597
119	4473	181916
120	4496	181289
121	4554	182109
122	4622	183275
123	4655	183061
124	4680	182543
125	4709	182160
126	4732	181600
127	4755	180996
128	4781	180563
129	4879	182780
130	4914	182652
131	4941	182224
132	4966	181737
133	4990	181219
134	5014	180701
135	5037	180164
136	5129	182090
137	5158	181730
138	5181	181203
139	5204	180670
140	5243	180705
141	5329	182322
142	5362	182129
143	5389	181743
144	5414	181280
145	5439	180829
146	5461	180313
147	5481	179716
148	5569	181321
149	5613	181500
150	5642	181179
151	5664	180682
152	5690	180275
153	5713	179782
154	5738	179366
155	5783	179596
156	5866	180949
157	5900	180822
158	5925	180412
159	5949	179978
160	5973	179548
161	5998	179135
162	6022	178721
163	6123	180556
164	6157	180444
165	6185	180128
166	6211	179767
167	6237	179412
168	6260	178954
169	6283	178513
170	6382	180250
171	6414	180061
172	6438	179648
173	6462	179254
174	6484	178799
175	6507	178367
176	6552	178543
177	6632	179675
178	6667	179573
179	6695	179283
180	6722	178977
181	6744	178556
182	6768	178154
183	6790	177729
184	6891	179374
185	6928	179318
186	6956	179051
187	6983	178758
188	7008	178388
189	7029	177956
190	7051	177537
191	7111	178080
192	7175	178722
193	7208	178583
194	7232	178218
195	7259	177921
196	7281	177534
197	7306	177206
198	7333	176928
199	7436	178475
200	7470	178358
201	7496	178053
202	7523	177780
203	7548	177455
204	7570	177071
205	7591	176670
206	7703	178367
207	7739	178305
208	7767	178063
209	7791	177723
210	7816	177397
211	7838	177041
212	7864	176739
213	7968	178210
214	8001	178086
215	8028	177824
216	8053	177519
217	8078	177212
218	8101	176858
219	8123	176503
220	8223	177830
221	8262	177831
222	8291	177625
223	8318	177368
224	8343	177065
225	8367	176761
226	8392	176457
227	8487	177633
228	8516	177442
229	8540	177117
230	8562	176783
231	8584	176427
232	8624	176459
233	8715	177521
234	8750	177435
235	8777	177181
236	8801	176889
237	8826	176595
238	8849	176287
239	8875	176031
240	8973	177200
241	9009	177141
242	9039	176959
243	9064	176684
244	9087	176378
245	9110	176067
246	9132	175736
247	9231	176890
248	9282	177118
249	9314	176972
250	9341	176735
251	9367	176502
252	9390	176193
253	9412	175871
254	9436	175586
255	9536	176721
256	9572	176663
257	9600	176458
258	9624	176185
259	9648	175902
260	9672	175619
261	9695	175329
262	9780	176167
263	9828	176312
264	9858	176150
265	9886	175945
266	9913	175728
267	9935	175433
268	9959	175152
269	10016	175479
270	10083	175964
271	10116	175846
272	10143	175637
273	10168	175387
274	10192	175118
275	10215	174846
276	10234	174507
277	10345	175729
278	10380	175649
279	10406	175431
280	10432	175197
281	10454	174902
282	10473	174572
283	10497	174311
284	10571	174900
285	10634	175287
286	10665	175143
287	10692	174938
288	10717	174707
289	10739	174417
290	10761	174142
291	10819	174439
292	10889	174932
293	10920	174796
294	10945	174578
295	10968	174316
296	10992	174074
297	11016	173819
298	11036	173523
299	11138	174507
300	11173	174440
301	11202	174266
302	11227	174038
303	11252	173818
304	11275	173571
305	11297	173309
306	11375	173890
307	11429	174117
308	11462	174016
309	11487	173801
310	11511	173554
311	11534	173316
